team,2018-19_goals,2018-19_revenue ($M)
Manchester City,95,655
Liverpool,89,649
Arsenal,73,478
Tottenham Hotspur,67,559
Manchester United,65,764
Chelsea,63,550
AFC Bournemouth,56,159
Everton,54,229
Watford,52,179
West Ham United,52,235
Crystal Palace,51,187
Leicester City,51,218
Wolverhampton Wanderers,47,209
Burnley,45,169
Southampton,45,182
Newcastle United,42,214
Brighton and Hove Albion,35,174
Cardiff City,34,152
Fulham,34,166
Huddersfield Town,22,148
