Petition,URL,State,Signatures Count
Offer protection of vulnerable debtors in Taking Control of Goods Regulations,https://petition.parliament.uk/archived/petitions/200104,rejected,17
Introduce a maximum wage as a factor of the lowest paid employee's wage.,https://petition.parliament.uk/archived/petitions/200105,closed,46
Grant the Welsh Assembly the same powers as Scotland currently has.,https://petition.parliament.uk/archived/petitions/200106,closed,1483
To give Darwen a referendum on  leaving Blackburn with Darwen council,https://petition.parliament.uk/archived/petitions/200107,rejected,15
Scrap credit card age verification on pornographic sites,https://petition.parliament.uk/archived/petitions/200110,closed,240
Extend paternity leave from 2 weeks to at least 4,https://petition.parliament.uk/archived/petitions/200113,closed,431
Stop killing badgers,https://petition.parliament.uk/archived/petitions/200114,closed,2628
When we have any election include a selection for “None of the above”.,https://petition.parliament.uk/archived/petitions/200115,closed,211
Layla's Law Vaccinate all UK children against Meningitis B strain (MenB).,https://petition.parliament.uk/archived/petitions/200117,closed,12080
Ask Macmillan Cancer charity to stop running their campaign - Brave the shave.,https://petition.parliament.uk/archived/petitions/200118,rejected,20
Don't close Parliamentary Petition system in the months surrounding an election,https://petition.parliament.uk/archived/petitions/200119,closed,96
Stop car Insurance Companies from increasing drivers for no fault accident claim,https://petition.parliament.uk/archived/petitions/200122,closed,180
"Make the ""Black British History"" textbook part of British curriculum",https://petition.parliament.uk/archived/petitions/200125,rejected,6
"Make abandoning spouses on Visa in a foreign country, a crime",https://petition.parliament.uk/archived/petitions/200127,rejected,12
Change The House Of Lords into The House Of Representatives.,https://petition.parliament.uk/archived/petitions/200128,rejected,21
"Change the law in England to ""opt out"" for organ donations",https://petition.parliament.uk/archived/petitions/200129,closed,3073
Revise the rape statute of the UK to allow women to be guilty of the offence.,https://petition.parliament.uk/archived/petitions/200130,rejected,13
End the animal cruelty laws exemptions for halal and shechita slaughter houses,https://petition.parliament.uk/archived/petitions/200131,closed,26711
UK retailers to label all meat non-halal or halal so all religions have a choice,https://petition.parliament.uk/archived/petitions/200133,closed,2227
Move PMQ's to prime time on Tuesdays,https://petition.parliament.uk/archived/petitions/200135,closed,26
Tax single use plastics,https://petition.parliament.uk/archived/petitions/200136,rejected,6
We urge the government to reclassify medical negligence as a criminal matter,https://petition.parliament.uk/archived/petitions/200137,closed,889
Make Student Nurses and Midwives eligible for 30 hours free childcare,https://petition.parliament.uk/archived/petitions/200138,closed,328
Stop the atrocities against the Rohingya people by the Military junta of Burma,https://petition.parliament.uk/archived/petitions/200141,rejected,11
Explain why you did not attempt to learn from 1975 referendum for the 2016 vote,https://petition.parliament.uk/archived/petitions/200142,rejected,9
Explain why the 2016 EU referendum was called with only four months' notice,https://petition.parliament.uk/archived/petitions/200143,closed,309
Remove RT as a news source from our tv channels.,https://petition.parliament.uk/archived/petitions/200144,rejected,8
Violence against Rohingya Muslims in Myanmar,https://petition.parliament.uk/archived/petitions/200146,rejected,6
All halal and kosher meat to be labelled with method of production and slaughter,https://petition.parliament.uk/archived/petitions/200147,closed,3506
Equal pay for 16 to 21 year olds,https://petition.parliament.uk/archived/petitions/200150,closed,84
Make it compulsory that all new building developments incorporate solar panels,https://petition.parliament.uk/archived/petitions/200151,closed,274
Reduce the age of Mandatory Mammograms to age 25-30,https://petition.parliament.uk/archived/petitions/200153,closed,29167
Stop NHS England from removing herbal and homeopathic medicines,https://petition.parliament.uk/archived/petitions/200154,closed,34670
Give votes urgently to 2 million Brits excluded from the referendum and election,https://petition.parliament.uk/archived/petitions/200155,rejected,7
Give votes urgently to the 1½ million 16- and 17-year olds,https://petition.parliament.uk/archived/petitions/200156,rejected,7
Give votes urgently to 2.2 million foreign residents,https://petition.parliament.uk/archived/petitions/200157,rejected,6
Consistently implement the metric system throughout the United Kingdom.,https://petition.parliament.uk/archived/petitions/200158,rejected,6
Make those who want Brexit pay for it.,https://petition.parliament.uk/archived/petitions/200159,rejected,6
Say NO to SO.,https://petition.parliament.uk/archived/petitions/200161,rejected,10
Stop signing up to new EU structures,https://petition.parliament.uk/archived/petitions/200163,rejected,13
Robert Black ex-Chief Exec of K&C Tenant Assoc should no longer be paid,https://petition.parliament.uk/archived/petitions/200164,rejected,7
Leave the EU immediately,https://petition.parliament.uk/archived/petitions/200165,closed,141835
Change the Law on Rape- Remove the Word 'Penis' to allow women to be convicted.,https://petition.parliament.uk/archived/petitions/200166,rejected,8
Religious Slaughter. Labelling Must Not Be Misleading.,https://petition.parliament.uk/archived/petitions/200167,rejected,21
A Carbon Tax For Companies Producing over a certain amount of green house gases,https://petition.parliament.uk/archived/petitions/200170,closed,66
Stagger school holidays - stop holiday ripoffs,https://petition.parliament.uk/archived/petitions/200173,closed,42
Government to give financial assistance to remain voters looking to leave UK,https://petition.parliament.uk/archived/petitions/200174,rejected,21
Create a campaign to raise awareness of the symptoms of type 1 diabetes,https://petition.parliament.uk/archived/petitions/200180,closed,363
Ask the UK government to reconsider new hate crime proposals.,https://petition.parliament.uk/archived/petitions/200182,rejected,21
Trigger a by-election in the constituency of Newton Abbot.,https://petition.parliament.uk/archived/petitions/200183,rejected,9
Sarah Newton MP to provide evidence that alcohol is not a harmful drug.,https://petition.parliament.uk/archived/petitions/200185,rejected,21
Review the CMA investigation into the lighting industry retail sector to save it,https://petition.parliament.uk/archived/petitions/200187,rejected,9
Reduce and end unnecessary single-use plastics,https://petition.parliament.uk/archived/petitions/200189,closed,11595
Stop penalizing children who have spelling difficulties,https://petition.parliament.uk/archived/petitions/200190,rejected,10
Start a Parliamentary discussion on Ireland Unification Talks,https://petition.parliament.uk/archived/petitions/200196,rejected,6
Vaccinate badgers instead of culling,https://petition.parliament.uk/archived/petitions/200200,closed,56
Put tuition fees back to £3000 per year,https://petition.parliament.uk/archived/petitions/200201,closed,220
Put a cap on the amount of hours an NHS employee can work in one shift.,https://petition.parliament.uk/archived/petitions/200202,closed,66
To legalise handguns for fac holders,https://petition.parliament.uk/archived/petitions/200203,closed,757
Ban attendance awards in schools,https://petition.parliament.uk/archived/petitions/200204,closed,2602
End the export of live farm animals after Brexit.,https://petition.parliament.uk/archived/petitions/200205,closed,100752
Update BE test rules to allow automatic cars to be used and gain manual as well,https://petition.parliament.uk/archived/petitions/200206,closed,82
Stop MLM distributors selling health and weight loss products without training,https://petition.parliament.uk/archived/petitions/200209,closed,55
Legalization of Cannabis for medical and recreational use,https://petition.parliament.uk/archived/petitions/200211,rejected,15
Stop electoral fraud by creating a national database of voters,https://petition.parliament.uk/archived/petitions/200212,closed,833
Abolish Universal Credits before it puts majority of the UK in poverty,https://petition.parliament.uk/archived/petitions/200213,closed,17992
Spend UK aid budget on overseas territories Irma relief.,https://petition.parliament.uk/archived/petitions/200214,rejected,8
Introduce a nationwide deposit return system for plastic bottles in the UK,https://petition.parliament.uk/archived/petitions/200215,closed,796
Free NHS prescriptions for full time students.,https://petition.parliament.uk/archived/petitions/200218,closed,56
Impose Financial sanctions on the State of Myanmar (Burma).,https://petition.parliament.uk/archived/petitions/200224,closed,30349
Make any overtime worked over standard contracted hours Tax free,https://petition.parliament.uk/archived/petitions/200225,closed,60
Compel Assessor to record PIP assessments to ensure honesty accuracy & fairness.,https://petition.parliament.uk/archived/petitions/200227,rejected,21
Make it a legal requirement to increase leg room in public spaces when sat down.,https://petition.parliament.uk/archived/petitions/200228,closed,49
Bring back people's right to buy council house in Scotland,https://petition.parliament.uk/archived/petitions/200232,rejected,19
Scrap the OISC and extend the remit of the SRA to Immigration Advisers,https://petition.parliament.uk/archived/petitions/200233,closed,9
Vote of no confidence in the conservative government,https://petition.parliament.uk/archived/petitions/200234,rejected,21
Hold a second EU referendum,https://petition.parliament.uk/archived/petitions/200235,closed,1022
Stop MCS increasing the cost of the MCS credits by 133%.,https://petition.parliament.uk/archived/petitions/200236,rejected,20
Abolish the TV Licence,https://petition.parliament.uk/archived/petitions/200239,closed,15677
Make recycling of all household low-grade plastics mandatory throughout the UK.,https://petition.parliament.uk/archived/petitions/200240,closed,246
cross border hiring to start or finish in own licenced area,https://petition.parliament.uk/archived/petitions/200241,rejected,21
Halt the destruction of Africa's rainforests to grow palm oil and cocoa.,https://petition.parliament.uk/archived/petitions/200242,rejected,7
"Cyclists must take a road test, be Licensed and Insured to be on the road.",https://petition.parliament.uk/archived/petitions/200244,closed,1315
Tighter Regulations On Dog Breeding and Make Neutering and Spaying Compulsory,https://petition.parliament.uk/archived/petitions/200245,closed,129
Put Stonehenge into special measures Remove Stonehenge from EH Management,https://petition.parliament.uk/archived/petitions/200246,closed,1288
Use foreign aid money to help in the Caribbean.,https://petition.parliament.uk/archived/petitions/200250,closed,158
Ban balloon and sky lantern releases.,https://petition.parliament.uk/archived/petitions/200251,closed,50414
"Save the former Womens Prison in Armagh, listed building",https://petition.parliament.uk/archived/petitions/200252,rejected,7
Ban cigarette smoking in public areas.,https://petition.parliament.uk/archived/petitions/200253,closed,208
Review the law on Foreign Aid which cannot be used aid to Caribbean countries.,https://petition.parliament.uk/archived/petitions/200254,rejected,7
"More awareness signage & campaigning for all motorists, cyclists & pedestrians",https://petition.parliament.uk/archived/petitions/200255,rejected,6
Post Brexit British Armed Forces shouldnt be integrated into an EU defence force,https://petition.parliament.uk/archived/petitions/200256,rejected,21
Make water meter  optional for customers not cumplsurry,https://petition.parliament.uk/archived/petitions/200258,rejected,9
"Nigeria military who has been using force,aggression towards unarmed individuals",https://petition.parliament.uk/archived/petitions/200262,rejected,21
Stop police and crime commissioners from controlling the fire brigade.,https://petition.parliament.uk/archived/petitions/200264,closed,399
Double the mandatory sentence for possession of a Firearm,https://petition.parliament.uk/archived/petitions/200266,closed,46
Make all MP's vote in the Brexit bills per their constituency vote on Brexit.,https://petition.parliament.uk/archived/petitions/200267,rejected,5
"After Brexit, EU dialysis provision through EHIC to remain for UK residents.",https://petition.parliament.uk/archived/petitions/200268,closed,4395
Make it law for every alcohol transaction to require approved photo ID,https://petition.parliament.uk/archived/petitions/200270,closed,16
Remove VAT on silver and platinum coins issued as legal tender.,https://petition.parliament.uk/archived/petitions/200271,closed,30
Move all voting days to weekends to avoid disruption in schools and industry.,https://petition.parliament.uk/archived/petitions/200272,closed,42
Impose trade sanctions on the Myanmar Government,https://petition.parliament.uk/archived/petitions/200273,rejected,21
Allow everyone over 55 flexibility to manage their private pension,https://petition.parliament.uk/archived/petitions/200277,closed,10
Make Sanitary Wear free on prescription for girls under 16 and women on benefits,https://petition.parliament.uk/archived/petitions/200278,closed,307
Change trespassing from a civil offence to a criminal offence.,https://petition.parliament.uk/archived/petitions/200285,closed,41
The assessment process used by the DWP for ESA and PIP is not fit for purpose.,https://petition.parliament.uk/archived/petitions/200286,rejected,7
"Decriminalise marijuana, and legalise for medical and recreational use.",https://petition.parliament.uk/archived/petitions/200287,rejected,11
End the Help to Buy scheme and instead direct this funding into social housing,https://petition.parliament.uk/archived/petitions/200288,closed,1191
Pay unpaid carers a real wage,https://petition.parliament.uk/archived/petitions/200290,rejected,6
Allow and help gay couples in the uk have children through surrogacy.,https://petition.parliament.uk/archived/petitions/200291,closed,53
Abolish the 0.7% GDP target for Foreign Aid,https://petition.parliament.uk/archived/petitions/200292,closed,55152
Implement a normal political structure in Northern Ireland.,https://petition.parliament.uk/archived/petitions/200294,rejected,8
Ringfence the future funding of scientific research in the UK after Brexit.,https://petition.parliament.uk/archived/petitions/200295,rejected,9
Include MPs in the 1% pay cap,https://petition.parliament.uk/archived/petitions/200297,rejected,7
