biz_type,name,postcode,rating_date,rating_key,rating_value
Retailers - supermarkets/hypermarkets,Aldi Stores Ltd,CF11 0JR,2017-05-09,fhrs_5_en-GB,5
Retailers - supermarkets/hypermarkets,Aldi Stores Ltd,CF24 1PQ,2015-12-09,fhrs_5_en-GB,5
Manufacturers/packers,Alex Gooch Artisan Baker,CF11 9DF,2018-06-29,fhrs_4_en-GB,4
Mobile caterer,Alfie's Ices,CF11 9DF,2019-06-10,fhrs_4_en-GB,4
Retailers - other,Ali Baba Shop,CF24 1LU,2020-02-25,fhrs_3_en-GB,3
Other catering premises,All Nations Centre,CF14 3NY,2018-02-05,fhrs_5_en-GB,5
School/college/university,All Saints Primary School,CF23 9LF,2016-11-22,fhrs_5_en-GB,5
Manufacturers/packers,Allen's Bakery,CF24 3SA,2019-02-18,fhrs_3_en-GB,3
Hospitals/Childcare/Caring Premises,Allensbank Primary School Breakfast Club,CF14 3QE,2016-10-11,fhrs_5_en-GB,5
School/college/university,Allensbank School,CF14 3QE,2020-03-12,fhrs_5_en-GB,5
Distributors/Transporters,Allied Bakeries,CF14 4UZ,2020-08-03,fhrs_4_en-GB,4
Mobile caterer,Allsorts of occasions,CF3 4LH,2014-12-19,fhrs_5_en-GB,5
Retailers - other,Allys Confectionary,CF3 4LH,2013-03-12,fhrs_4_en-GB,4
Other catering premises,Al-Manar Centre Trust,CF24 4AN,2020-01-09,fhrs_4_en-GB,4
Retailers - other,Alnoor Butchers and Green Grocer,CF11 7AU,2020-03-05,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Alwali Restaurant Ltd,CF24 3DD,2018-07-27,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Amdani Food,CF5 5NJ,2017-11-23,fhrs_5_en-GB,5
Retailers - other,Americandy,CF10 2BY,2020-07-25,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Amo's Cafe,CF24 3BQ,2019-11-19,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Anatonis,CF24 3PE,2018-08-21,fhrs_4_en-GB,4
Takeaway/sandwich shop,Andalucia Kebab House Charcoal Restaurant,CF24 3JF,2020-01-07,fhrs_4_en-GB,4
Mobile caterer,Andrea Pontis,CF24 3JF,2015-06-17,fhrs_5_en-GB,5
Retailers - other,Ania Polski Sklep,CF24 1LZ,2019-11-22,fhrs_4_en-GB,4
Retailers - other,Ania-polski Sklep Ltd,CF24 3LH,2020-01-30,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Anna - Loka,CF24 3RU,2019-04-02,fhrs_5_en-GB,5
Other catering premises,Anna's Pop- Up Afternoon Teas,CF24 3RU,2018-11-18,fhrs_5_en-GB,5
Other catering premises,Annies Cakes,CF24 3RU,2018-03-08,fhrs_5_en-GB,5
Takeaway/sandwich shop,Antep Sofrasi,CF5 1BE,2018-10-17,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Antonio Castaldo at Craigau Golf Club,CF15 9NN,2019-12-12,fhrs_5_en-GB,5
Mobile caterer,Antonio Troisi,CF24 5PQ,2016-09-12,fhrs_3_en-GB,3
Mobile caterer,Antonio's Ice Cream Delights,CF24 5PQ,2015-06-30,fhrs_5_en-GB,5
Other catering premises,Ants Inya Pants,CF23 9AF,2020-08-25,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Appletree Nursery,CF14 6SS,2017-09-22,fhrs_5_en-GB,5
